relation	pattern
hasAcademicAdvisor	has worked among;
hasAcademicAdvisor	[[con]] worked as;
hasAcademicAdvisor	later worked as;
hasAcademicAdvisor	then worked along;
hasAcademicAdvisor	have worked under;
hasAcademicAdvisor	had worked with;
hasAcademicAdvisor	since worked [[con]];
hasAcademicAdvisor	had worked to;
hasAcademicAdvisor	again worked with;
hasAcademicAdvisor	worked first;
hasAcademicAdvisor	worked [[adj]];
hasAcademicAdvisor	also worked where;
hasAcademicAdvisor	worked after;
hasAcademicAdvisor	has worked together;
hasAcademicAdvisor	[[adj]] worked for;
hasAcademicAdvisor	worked among;
hasAcademicAdvisor	then worked before;
hasAcademicAdvisor	later worked to;
hasAcademicAdvisor	had worked;
hasAcademicAdvisor	worked mainly;
hasAcademicAdvisor	worked from;
hasAcademicAdvisor	also worked to;
hasAcademicAdvisor	worked [[con]];
hasAcademicAdvisor	where worked for;
hasAcademicAdvisor	had worked under;
hasAcademicAdvisor	later worked on;
hasAcademicAdvisor	worked under;
hasAcademicAdvisor	then worked [[adj]];
hasAcademicAdvisor	has worked;
hasAcademicAdvisor	also worked among;
hasAcademicAdvisor	where worked;
hasAcademicAdvisor	[[adj]] worked as;
hasAcademicAdvisor	has worked until;
hasAcademicAdvisor	which worked;
hasAcademicAdvisor	has worked under;
hasAcademicAdvisor	later worked with;
hasAcademicAdvisor	has worked [[con]];
hasAcademicAdvisor	also worked;
hasAcademicAdvisor	has worked with;
hasAcademicAdvisor	first worked to;
hasAcademicAdvisor	began singing [[con]] followed [[det]] stage career where worked with;
hasAcademicAdvisor	also worked by;
hasAcademicAdvisor	has worked along;
hasAcademicAdvisor	[[con]] worked mainly;
hasAcademicAdvisor	then worked under;
hasAcademicAdvisor	has worked again;
hasAcademicAdvisor	also worked as;
hasAcademicAdvisor	often worked;
hasAcademicAdvisor	worked [[det]];
hasAcademicAdvisor	also worked with;
hasAcademicAdvisor	[[num]] worked with;
hasAcademicAdvisor	[[det]] worked for;
hasAcademicAdvisor	worked by;
hasAcademicAdvisor	worked together;
hasAcademicAdvisor	worked mostly;
hasAcademicAdvisor	later worked under;
hasAcademicAdvisor	worked then;
hasAcademicAdvisor	worked again;
hasAcademicAdvisor	worked was;
hasAcademicAdvisor	has worked as;
hasAcademicAdvisor	that worked with;
hasAcademicAdvisor	since worked with;
hasAcademicAdvisor	also worked together;
hasAcademicAdvisor	worked to;
hasAcademicAdvisor	[[con]] worked later;
hasAcademicAdvisor	then worked where;
