relation	pattern
created	where worked at;
created	have worked on;
created	had worked;
created	worked most;
created	worked mainly;
created	worked from;
created	first worked as;
created	[[con]] worked at;
created	had worked together;
created	had worked at;
created	to record as;
created	s record;
created	to record;
created	to record at;
created	[[det]] record;
created	[[adj]] record;
created	to record [[det]];
created	also wrote [[con]] directed;
created	also wrote [[con]] directed [[num]];
created	wrote [[con]] directed [[num]];
created	wrote [[con]] directed [[con]];
created	wrote [[con]] directed;
created	wrote [[con]] directed at;
created	[[adj]] games [[con]];
created	debut in;
created	to debut in;
created	[[prp]] debut [[det]];
created	[[prp]] debut at;
created	s debut;
created	debut at;
created	[[pro]] debut;
created	s debut of;
created	[[adj]] debut [[det]];
created	[[adj]] debut on;
created	[[adj]] debut at;
created	[[pro]] debut in;
created	[[det]] debut at;
created	s debut at;
created	[[adj]] debut;
created	s debut [[adj]];
created	play [[num]];
created	[[det]] play at;
created	[[num]] play;
created	[[adj]] play at;
created	[[det]] play on;
created	later play in;
created	to play at;
created	s play in;
created	[[pro]] play;
created	[[adj]] play for;
created	[[adj]] play [[con]];
created	s play at;
created	was received [[con]];
created	never received [[det]];
created	[[adj]] received;
created	also received [[num]];
created	received during;
created	received of;
created	has received [[con]];
created	has received [[num]];
created	best known for [[prp]] novel;
created	best known for [[adj]] novel;
created	s music for;
created	s music;
created	[[adj]] music for;
created	[[adj]] music;
created	[[det]] music for;
created	music for;
created	exhibited [[prp]] work was used in movies like;
created	music as;
created	covered [[det]] song on [[num]] album;
created	covered [[det]] song for [[prp]] album;
created	covered [[det]] song on [[prp]] album;
created	released [[prp]] debut;
created	released [[prp]] debut [[adj]];
created	has announced that;
created	also announced;
created	has announced [[num]];
created	announced [[mod]];
created	announced [[det]];
created	announced [[con]];
created	announced [[adj]];
created	announced that;
created	has announced [[det]];
created	announced for;
created	s writing;
created	was writing;
created	currently writing;
created	by writing;
created	is writing [[det]];
created	was writing to;
created	been awarded [[con]];
created	been awarded;
created	also awarded as;
created	was awarded [[det]];
created	was awarded with;
created	awarded for;
created	also awarded [[det]];
created	was awarded;
created	awarded in;
created	was awarded in;
created	be awarded [[det]];
created	also awarded;
created	was awarded to;
created	been awarded for;
created	also awarded at;
created	was awarded [[pro]];
created	awarded [[num]];
created	been awarded [[num]];
created	was awarded [[prp]];
created	was awarded for;
created	[[adj]] awarded [[det]];
created	is awarded [[det]];
created	awarded [[det]];
created	being awarded [[det]];
created	been awarded [[det]];
created	[[det]] awarded [[det]];
created	was awarded [[num]];
created	were awarded in;
created	received nominations in;
created	has received [[num]] nominations [[con]];
created	has received nominations for;
created	received [[num]] nominations for;
created	has received [[num]] nominations;
created	has received [[num]] [[adj]] nominations for;
created	received nominations [[con]];
created	has received [[num]] nominations for;
created	has received nominations in;
created	received [[num]] nominations;
created	has received nominations;
created	received nominations for;
created	received [[num]] nominations [[con]];
created	[[adj]] painting of;
created	[[num]] painting;
created	[[adj]] painting;
created	s painting;
created	painting [[det]];
created	painting at;
created	wrote [[con]] directed [[adj]];
created	released [[num]] solo albums [[con]];
created	has released [[num]] solo albums;
created	has released [[num]] solo albums [[con]];
created	has released [[num]] solo albums [[num]];
created	released [[num]] solo albums;
created	has released solo albums [[adj]];
created	cocreated [[det]];
created	recorded [[det]] song on [[num]] album;
created	recorded [[det]] song for [[prp]] album;
created	recorded [[det]] song for [[num]] album;
created	best known as [[det]] creator of;
created	also published;
created	published [[con]];
created	published [[adj]];
created	been published in;
created	also published of;
created	had published [[det]];
created	first published in;
created	published from;
created	published which;
created	of published;
created	published for;
created	also published in;
created	[[det]] published;
created	then published;
created	published of;
created	published [[det]];
created	s published;
created	published that;
created	also published by;
created	published on;
created	has published [[adj]];
created	also published [[num]];
created	also published [[det]];
created	published as;
created	published [[num]];
created	[[adj]] published;
created	has published [[det]];
created	has published;
created	[[adj]] published in;
created	published to;
created	has published in;
created	later published;
created	been published;
created	also published with;
created	published [[prp]];
created	s published as;
created	published in;
created	[[num]] published in;
created	composed music;
created	also composed music;
created	composed music for;
created	composed [[det]] music for;
created	also composed music for;
created	composed music [[con]];
created	covered on [[num]] album;
created	left;
created	[[adj]] recording;
created	[[num]] recording of;
created	was recording;
created	[[det]] recording of;
created	recording [[con]];
created	s recording of;
created	[[det]] recording;
created	s recording;
created	recording [[det]];
created	[[num]] recording;
created	performed [[det]] song;
created	performed [[prp]] song;
created	performed [[det]] song as;
created	also performed [[det]] song;
created	composed [[det]] music to;
created	[[con]] cofounded;
created	also cofounded [[con]];
created	cofounded [[det]];
created	[[con]] cofounded [[det]];
created	also cofounded [[det]];
created	also cofounded;
created	performed [[det]] song [[det]];
created	was directed to;
created	then directed [[det]];
created	also directed at;
created	directed from;
created	also directed of;
created	has directed at;
created	has directed [[det]];
created	s directed at;
created	directed for;
created	directed at;
created	[[con]] directed [[det]];
created	[[adj]] drama;
created	s drama;
created	[[det]] drama;
created	[[num]] drama;
created	writing [[con]];
created	for writing [[num]];
created	[[con]] writing;
created	was writing for;
created	writing about;
created	[[adj]] writing;
created	for writing;
created	writing for;
created	writing in;
created	[[adj]] character in;
created	[[adj]] character [[det]];
created	[[det]] character with;
created	s character [[con]];
created	s character [[det]];
created	[[det]] character in;
created	that character;
created	[[con]] character;
created	character in;
created	[[num]] character;
created	character of;
created	of character;
created	[[prp]] character;
created	[[adj]] character;
created	[[det]] character;
created	s character;
created	[[adj]] character [[con]];
created	character [[con]];
created	[[det]] character [[con]];
created	[[adj]] character who;
created	s character of;
created	as character;
created	[[adj]] character [[adj]];
created	[[adj]] character as;
created	[[adj]] character by;
created	[[adj]] character of;
created	[[pro]] character;
created	to character;
created	character [[adj]];
created	[[det]] character of;
created	had formed;
created	had formed [[det]];
created	then formed;
created	formed [[num]];
created	formed of;
created	[[con]] formed;
created	also formed [[det]];
created	also formed;
created	formed [[adj]];
created	later formed;
created	formed [[con]];
created	[[adj]] formed;
created	with formed [[det]];
created	later formed [[det]];
created	formed [[det]];
created	formed to;
created	[[con]] formed [[det]];
created	formed from;
created	[[det]] formed;
created	formed [[prp]];
created	announced;
created	[[num]] books;
created	[[adj]] books;
created	[[num]] books [[con]];
created	books for;
created	[[adj]] books of;
created	books to;
created	books [[adj]];
created	s books;
created	s books [[con]];
created	books [[con]];
created	also cast [[pro]];
created	cast in;
created	cast [[pro]];
created	been cast;
created	[[con]] cast [[prp]];
created	[[adj]] cast in;
created	then cast as;
created	later cast in;
created	best known for [[prp]] work on titles;
created	best known for [[prp]] work at [[adj]] titles as;
created	best known for [[prp]] work in series [[det]] [[adj]] titles [[adj]];
created	best known for [[prp]] work on titles [[adj]];
created	[[adj]] albums including;
created	also written of;
created	has written;
created	[[con]] written for;
created	had written [[det]];
created	have written;
created	[[det]] written;
created	has written [[det]];
created	has written [[con]];
created	has written on;
created	also written [[adj]];
created	has written about;
created	been written;
created	also written;
created	had written [[con]];
created	has written in;
created	also written as;
created	had written for;
created	has written for;
created	was written in;
created	been written about;
created	also written [[num]];
created	written [[con]];
created	of written;
created	written for;
created	had written in;
created	has written as;
created	has written [[num]];
created	also written [[det]];
created	written [[num]];
created	also written for;
created	s written;
created	has written to;
created	published [[det]] novel;
created	[[adj]] novel published;
created	published [[det]] [[adj]] novel;
created	published [[prp]] novel;
created	was cast in;
created	[[det]] cast of;
created	then cast in;
created	was cast to;
created	[[det]] cast [[adj]];
created	is cast in;
created	also cast [[con]];
created	was cast on;
created	cast [[det]];
created	[[adj]] cast of;
created	cast of;
created	also cast in;
created	been cast in;
created	s character from;
created	[[det]] character from;
created	[[pro]] character in;
created	s character in;
created	s character on;
created	[[adj]] character with;
created	[[adj]] character from;
created	character is;
created	[[adj]] character on;
created	has written during;
created	was written out;
created	had written [[num]];
created	written on;
created	is written;
created	written in;
created	also starred in;
created	starred [[det]];
created	also starred of;
created	starred at;
created	starred of;
created	starred [[num]];
created	[[con]] starred in;
created	had starred in;
created	has starred [[con]];
created	has starred;
created	has starred of;
created	has starred [[det]];
created	then starred;
created	also starred [[num]];
created	also starred [[det]];
created	also starred at;
created	starred to;
created	later starred of;
created	then starred in;
created	also starred [[con]];
created	also starred to;
created	later starred as;
created	starred in;
created	[[adj]] starred in;
created	has starred in;
created	also starred;
created	[[num]] adaptation of;
created	adaptation of;
created	s adaptation;
created	[[adj]] adaptation of;
created	[[num]] adaptation;
created	s adaptation of;
created	[[adj]] novels;
created	s novels [[con]];
created	[[num]] novels;
created	s novels;
created	[[num]] novels [[adj]];
created	[[con]] collaborated on;
created	has collaborated [[con]];
created	also collaborated on;
created	collaborated [[det]];
created	collaborated in;
created	collaborated on;
created	collaborated for;
created	has collaborated on;
created	singles [[con]];
created	[[num]] singles [[con]];
created	[[num]] singles;
created	[[num]] singles [[num]];
created	s singles;
created	singles [[adj]];
created	is president [[con]];
created	been president [[det]];
created	president [[det]];
created	is president [[det]];
created	[[con]] president of;
created	also president [[con]];
created	became president;
created	also president of;
created	[[det]] president of;
created	was president of;
created	is president;
created	president of;
created	been president of;
created	also president;
created	was president [[det]];
created	[[det]] president [[con]];
created	was president [[num]];
created	also nominated [[num]] people who confirmed by;
created	became president [[det]];
created	[[det]] president;
created	as president of;
created	[[det]] president [[det]];
created	became president of;
created	also president [[det]];
created	is president of;
created	then president of;
created	[[adj]] president at;
created	became president [[con]];
created	was president at;
created	[[det]] president [[adj]];
created	been president [[con]];
created	[[adj]] president for;
created	is president in;
created	[[adj]] president [[num]];
created	[[adj]] president of;
created	[[adj]] president [[det]];
created	becoming president of;
created	became president at;
created	[[num]] president of;
created	become president of;
created	president [[con]];
created	[[adj]] president [[con]];
created	become president;
created	then president [[det]];
created	also president in;
created	was president [[con]];
created	[[det]] president which;
created	was president;
created	s tour;
created	[[num]] tour;
created	[[det]] tour for;
created	[[det]] tour;
created	[[con]] tour;
created	[[prp]] tour;
created	was cast at;
created	cast [[prp]];
created	also cast at;
created	[[con]] cast [[pro]];
created	was cast [[det]];
created	being cast in;
created	starred on;
created	who starred;
created	has starred as;
created	s songs;
created	songs to;
created	[[det]] songs;
created	songs at;
created	[[adj]] songs [[adj]];
created	songs [[con]];
created	s songs from;
created	[[adj]] songs [[con]];
created	s songs [[det]];
created	[[num]] songs;
created	[[adj]] songs on;
created	s songs [[adj]];
created	[[det]] songs [[con]];
created	[[num]] songs on;
created	formed;
created	also wrote at;
created	[[con]] wrote to;
created	wrote by;
created	[[pro]] wrote;
created	also wrote with;
created	which wrote;
created	once wrote that;
created	whom wrote;
created	[[adj]] wrote to;
created	[[adj]] wrote;
created	wrote what;
created	later wrote that;
created	also wrote by;
created	wrote of;
created	later wrote of;
created	wrote on;
created	later wrote while;
created	where wrote;
created	that wrote;
created	wrote about;
created	later wrote [[num]];
created	once wrote;
created	as wrote to;
created	wrote that;
created	which wrote that;
created	wrote is;
created	later wrote to;
created	also wrote under;
created	wrote with;
created	wrote under;
created	also wrote [[adj]];
created	as wrote;
created	when wrote;
created	of wrote;
created	wrote more;
created	wrote [[adj]];
created	also wrote that;
created	later wrote [[adj]];
created	when wrote to;
created	who wrote;
created	then wrote to;
created	wrote when;
created	with wrote;
created	[[num]] wrote;
created	which wrote with;
created	also wrote about;
created	also wrote to;
created	wrote while;
created	wrote to;
created	while wrote;
created	wrote [[pro]];
created	[[pro]] wrote to;
created	[[con]] wrote;
created	[[num]] wrote on;
created	[[adj]] adaptation;
created	[[det]] adaptation of;
created	novels [[con]];
created	[[det]] novels;
created	won from [[det]] film;
created	won in [[num]] film;
created	won in [[det]] film;
created	won for [[det]] film;
created	won for [[prp]] film;
created	won for [[num]] film;
created	won for [[adj]] film;
created	has designed for;
created	also designed at;
created	designed [[det]];
created	also designed [[det]];
created	also designed [[con]];
created	designed [[adj]];
created	had designed [[det]];
created	also designed [[adj]];
created	[[mod]] continue designing [[det]];
created	has designed [[adj]];
created	designed on;
created	[[con]] designed [[det]];
created	[[con]] designed;
created	also designed;
created	designed [[prp]];
created	designed [[num]];
created	also designed for;
created	designed [[con]];
created	[[num]] ref of;
created	with ref;
created	in ref;
created	at ref;
created	[[num]] ref name;
created	ref [[con]];
created	s ref name;
created	s ref;
created	to ref;
created	[[det]] ref;
created	on ref;
created	adapted;
created	cowrote [[det]] screenplays;
created	cowrote [[det]] screenplays for;
created	also cowrote [[det]] screenplays for;
created	to record [[prp]] [[adj]] album;
created	to record [[det]] album;
created	to record [[adj]] album;
created	wrote [[det]] song;
created	covered [[det]] song on;
created	covered [[det]] song;
created	covered [[det]] song at;
created	covered [[det]] song [[det]];
created	covered [[det]] song to;
created	covered [[det]] song as;
created	covered [[det]] song for;
created	covered [[det]] song in;
created	[[num]] feature;
created	to feature in;
created	[[adj]] feature;
created	s feature;
created	[[adj]] masterpiece;
created	[[prp]] masterpiece;
created	[[mod]] run in;
created	[[adj]] run of;
created	s run of;
created	[[num]] run;
created	to run away;
created	run at;
created	[[adj]] run on;
created	[[adj]] run in;
created	to run at;
created	has run in;
created	to run in;
created	to run again;
created	to run;
created	to run with;
created	s run on;
created	[[con]] run;
created	started;
created	s video for;
created	[[det]] video for;
created	[[det]] video;
created	wrote [[det]] screenplay for [[num]] film;
created	also wrote [[det]] screenplay for [[num]] film;
created	[[adj]] record label;
created	s record label;
created	record label;
created	followed [[pro]];
created	followed [[det]];
created	followed at;
created	s followed by;
created	later followed by;
created	[[det]] followed;
created	followed up;
created	followed in;
created	followed with;
created	followed that;
created	[[det]] episode of;
created	in episode [[num]];
created	[[num]] episode;
created	s episode;
created	[[det]] episode;
created	[[adj]] episode of;
created	is episode [[num]];
created	[[num]] episode of;
created	[[adj]] episode;
created	to join;
created	became head of;
created	[[mod]] join up;
created	[[adj]] head [[det]];
created	[[mod]] join [[adj]];
created	to head;
created	became head at;
created	[[det]] head in;
created	[[mod]] join;
created	was head [[det]];
created	is head of;
created	head of;
created	was head [[con]];
created	[[adj]] head of;
created	[[det]] matter to prevent [[det]] issue [[prp]] position as;
created	become head of;
created	was head at;
created	then head of;
created	to join [[num]];
created	[[adj]] head;
created	to head at;
created	to join [[adj]];
created	became head for;
created	made head at;
created	become head at;
created	as head of;
created	[[det]] head [[con]];
created	was head of;
created	to join at;
created	was head;
created	was head to;
created	made head of;
created	became head [[det]];
created	[[det]] head at;
created	[[det]] join;
created	[[det]] head [[det]];
created	to join [[det]];
created	[[adj]] head [[con]];
created	head to;
created	later join [[det]];
created	to head [[det]];
created	is head [[det]];
created	[[adj]] head at;
created	[[det]] head of;
created	[[mod]] join [[det]];
created	to join up;
created	was head for;
created	[[mod]] join at;
created	[[con]] head of;
created	head at;
created	became head;
created	is head at;
created	[[det]] head;
created	[[num]] novel [[con]];
created	novel as;
created	[[adj]] novel which;
created	s novel which;
created	of novel;
created	[[det]] novel in;
created	in novel;
created	s novel about;
created	s novel with;
created	[[num]] novel with;
created	s novel by;
created	produced s;
created	produced as;
created	has produced;
created	also produced [[det]];
created	[[det]] produced;
created	produced on;
created	then produced;
created	[[con]] produced [[det]];
created	also produced [[num]];
created	which produced [[num]];
created	produced of;
created	[[con]] produced;
created	[[adj]] produced;
created	also produced to;
created	also produced [[con]];
created	[[adj]] novels [[adj]];
created	also recorded [[det]] song;
created	recorded [[det]] song as;
created	recorded [[det]] [[adj]] song;
created	recorded [[det]] song at;
created	recorded [[det]] [[adj]] song for;
created	recorded [[det]] song [[con]];
created	recorded [[det]] song;
created	recorded [[det]] song for;
created	also directed [[adj]] films [[adj]];
created	has directed [[adj]] films as;
created	has directed [[det]] films [[con]];
created	directed [[num]] films;
created	also directed [[adj]] films as;
created	directed [[det]] films [[con]];
created	directed [[adj]] films as;
created	has directed [[num]] films;
created	directed [[det]] films;
created	has directed [[num]] films [[num]];
created	directed films [[adj]];
created	has directed [[det]] films;
created	also directed [[det]] films [[num]];
created	has directed [[adj]] films [[adj]];
created	also directed [[det]] [[adj]] films;
created	wrote [[det]] screenplay for [[det]] feature film;
created	from gt;
created	[[num]] gt [[adj]];
created	[[num]] gt [[num]];
created	gt in;
created	s gt;
created	[[adj]] gt;
created	[[con]] gt;
created	of gt;
created	in gt;
created	p gt;
created	gt [[det]];
created	gt are;
created	[[pro]] gt;
created	[[det]] gt;
created	gt to;
created	titled of;
created	titled in;
created	[[adj]] titled;
created	also titled;
created	titled [[det]];
created	[[adj]] titled in;
created	[[det]] titled;
created	produced;
created	also appeared in [[adj]] television shows [[con]] movies [[adj]];
created	has appeared in episodes of television shows [[adj]];
created	acted on television shows [[adj]];
created	has appeared in [[adj]] television dramas including [[con]];
created	made guest appearances on television series including [[con]];
created	[[adj]] appearances on [[adj]] television programs most notably [[adj]];
created	has appeared in [[num]] movies [[con]] television shows including;
created	made guest appearances on shows [[adj]];
created	best known for [[prp]] roles in [[det]] series;
created	also appeared in episodes of [[det]] television series;
created	also gueststarred on television shows including;
created	created [[adj]] television series including;
created	also appeared in [[adj]] television series;
created	also appeared in television shows [[adj]];
created	has created [[adj]] series including;
created	[[adj]] guest appearances in series [[adj]];
created	also gueststarred on television series [[adj]];
created	has appeared on television shows [[adj]];
created	[[adj]] guest appearances on [[adj]] shows [[adj]];
created	made guest appearances on shows including [[con]];
created	has gueststarred in [[det]] number of [[adj]] television series;
created	[[adj]] television game shows including;
created	has appeared in television including [[num]];
created	[[mod]] change [[det]] path [[det]] director returning to series [[adj]];
created	also appeared in television dramas [[adj]];
created	has appeared in television shows [[adj]];
created	has directed [[con]] produced episodes of [[adj]] television shows [[adj]];
created	appeared in [[num]] episodes of [[det]] series;
created	[[adj]] guest appearances on [[det]] variety of television shows including;
created	best known for [[prp]] television appearances in series [[adj]];
created	has appeared on television series including;
created	best known for playing on [[det]] television series;
created	has acted in [[adj]] television shows including;
created	been featured in [[adj]] television series including;
created	has appeared in [[adj]] television series including [[con]];
created	[[adj]] guest appearances in shows [[adj]];
created	has directed [[det]] number including;
created	also appeared in [[adj]] series including by;
created	also appeared in [[adj]] shows including;
created	has appeared in [[adj]] television shows including;
created	made guest appearances on [[det]] number of television shows including;
created	has appeared on [[adj]] television shows including;
created	also appeared in [[adj]] primetime shows including [[num]];
created	made guest appearances on television shows ranging from;
created	[[adj]] television appearances including;
created	best known for [[prp]] roles in [[det]] television series [[con]];
created	best known for playing in [[det]] television series;
created	appeared in television series;
created	best known for [[det]] role of [[det]] series;
created	[[adj]] star in [[adj]] television shows like of;
created	best known for [[prp]] role as [[adj]] series;
created	appeared in films [[con]] television shows [[adj]];
created	appeared in [[adj]] films on television shows including [[adj]] series [[adj]];
created	made appearances on television series [[adj]];
created	[[adj]] television appearances including [[con]];
created	also appeared [[adj]] roles in [[adj]] television series;
created	has appeared in [[det]] number of television series including;
created	also directed episodes of [[adj]] series including [[num]];
created	[[adj]] appearances on [[num]] television shows [[adj]];
created	had recurring roles in series [[adj]];
created	[[adj]] guest roles in television series [[adj]];
created	[[adj]] guest appearances including [[pro]];
created	had recurring roles in [[adj]] television series [[adj]];
created	appearances on [[adj]] television network shows [[adj]];
created	made appearances on shows including;
created	appeared [[con]] made appearances including;
created	[[det]] number on [[adj]] television series [[adj]];
created	appeared on [[adj]] television shows [[adj]];
created	has appeared with [[det]] group on television shows [[adj]];
created	[[adj]] cameo [[con]] guest appearances including;
created	[[det]] roles on [[adj]] television shows including;
created	also appeared on television shows [[adj]];
created	also appeared in [[adj]] television shows [[adj]];
created	directed [[adj]] episodes including;
created	made guest appearances on [[det]] television shows [[num]];
created	has appeared on [[adj]] television series including [[con]];
created	to land guest roles in [[adj]] series [[adj]];
created	[[adj]] television series including;
created	[[adj]] guest appearances in [[adj]] shows [[adj]];
created	appeared in episodes of television series;
created	later appeared in television series [[adj]];
created	[[adj]] guest television appearances including [[adj]] roles on;
created	made appearances on [[det]] television programs;
created	is known for television roles [[adj]];
created	also directed television shows [[adj]];
created	also gueststarred in [[adj]] television shows [[adj]];
created	made guest appearances on series including;
created	has appeared in television shows including of;
created	also appeared [[det]] television shows;
created	made guest appearances on [[adj]] shows including;
created	[[adj]] appearances on [[adj]] television including [[det]] series from;
created	made guest appearances on television shows including;
created	also appeared in television series [[adj]];
created	made guest appearances on [[adj]] series including;
created	had roles in television series [[adj]];
created	on television shows like;
created	[[det]] series [[adj]] made guest appearances on;
created	since appeared in [[adj]] television shows including;
created	also appeared on [[adj]] television shows [[adj]];
created	also directed [[det]] number episodes of;
created	directed [[adj]] episodes of [[adj]] television shows [[adj]];
created	also directed [[adj]] television episodes of;
created	also appeared in [[adj]] film [[con]] television productions including;
created	has appeared in well known television series including;
created	later appeared in [[det]] number of television series [[adj]];
created	has appeared in television shows including [[con]];
created	guest roles in series [[con]];
created	made appearances on [[adj]] television programs including;
created	with roles in [[adj]] movies [[con]] television shows [[adj]];
created	has appeared in [[adj]] television series including;
created	acted on [[adj]] leading television shows including;
created	appeared in [[adj]] television shows including;
created	also written [[con]] appeared in [[adj]] television series as;
created	also appeared on [[adj]] series including;
created	appeared in [[adj]] series including;
created	[[adj]] roles in [[adj]] television shows [[adj]];
created	created [[det]] television series;
created	episodes for [[det]] television series;
created	made appearances in television shows [[adj]];
created	[[adj]] guest appearances on network shows including in;
created	has directed episodes of television series [[adj]];
created	has appeared in television series;
created	also appeared on [[adj]] talk shows [[adj]];
created	has appeared in films [[con]] television series [[adj]];
created	has appeared in [[adj]] programs including;
created	also written for [[det]] television series;
created	has worked including [[con]] made guest appearances on;
created	made guest appearances including;
created	also starred [[con]] made guest appearances on television series including;
created	also directed episodes including;
created	best known for [[prp]] television series;
created	has appeared in [[adj]] television [[con]] series [[adj]];
created	[[adj]] guest appearances on television including;
created	appeared in [[adj]] television series including;
created	appeared in [[adj]] episodes of [[adj]] series;
created	also appeared in [[adj]] television guest appearances including;
created	worked including guest appearances on;
created	was involved with [[adj]] television series including;
created	[[adj]] appearances in number of [[adj]] television series including [[con]];
created	made guest appearances on television shows [[adj]];
created	has appeared in [[adj]] roles on [[adj]] television shows [[adj]];
created	[[adj]] roles in television series [[adj]];
created	[[adj]] guest appearances ranging to;
created	also appeared [[adj]] roles in series [[adj]];
created	in films [[con]] television shows [[adj]];
created	best known for [[prp]] role as [[det]] television series;
created	has appeared in episodes [[adj]] television series including;
created	appeared on [[adj]] programs including [[det]];
created	made guest appearances [[con]] [[adj]] television productions [[adj]];
created	[[adj]] television guest star appearances including roles on;
created	made guest appearances including [[con]];
created	has appeared in [[adj]] television shows [[adj]];
created	made guest appearances including of;
created	directed [[adj]] episodes including [[num]];
created	has appeared in [[num]] films [[con]] television shows including;
created	[[adj]] television appearances including episodes of;
created	[[det]] directed [[con]] produced episodes of [[det]] series;
created	also directed [[det]] number episodes of [[adj]] including;
created	has appeared on hundreds [[con]] television programs;
created	also appeared in [[adj]] television series including;
created	has appeared in episodes of [[det]] television series;
created	made guest appearances on [[adj]] shows filmed [[adj]];
created	[[adj]] roles in [[adj]] television series including;
created	made guest appearances on [[adj]] television shows including;
created	appeared on [[det]] television series;
created	has written [[con]] produced episodes for [[det]] television series;
created	[[adj]] television shows [[con]] movies [[adj]];
created	has written episodes of television series [[adj]];
created	had recurring roles in [[num]] television series as;
created	directed episodes of [[adj]] series including;
created	has appeared in [[adj]] television programs including;
created	best known for [[prp]] role in [[det]] series;
created	appeared as [[det]] television series;
created	[[adj]] television appearances in series [[adj]];
created	made guest appearances on [[adj]] shows as;
created	had roles in [[det]] number of [[adj]] television series including;
created	directed episodes including;
created	television series including;
created	has appeared in [[adj]] television productions including;
created	also appeared in [[det]] television series [[con]];
created	was cast in [[adj]] television films [[con]] shows [[adj]];
created	appeared in [[adj]] television series [[adj]];
created	has appeared in [[det]] television series [[con]];
created	has gueststarred in [[num]] television shows including;
created	has appeared [[con]] made guest appearances including;
created	also edited [[adj]] movies [[con]] television shows [[adj]];
created	had roles in [[adj]] television series [[adj]];
created	[[adj]] guest roles in [[adj]] series [[adj]];
created	also appeared in [[det]] television series;
created	also appeared in [[adj]] cult shows including;
created	[[adj]] guest appearances including;
created	[[adj]] guest appearances on shows [[adj]];
created	best known for [[prp]] roles on [[det]] television series;
created	has appeared in [[adj]] television shows [[con]] movies [[det]] week;
created	has appeared in [[adj]] television programs including [[con]];
created	on television shows including;
created	also appeared in television series including;
created	has appeared in television shows including;
created	[[adj]] appearances on [[adj]] television series [[adj]];
created	made guest appearances including [[num]];
created	has directed episodes of [[det]] television series;
created	appeared in television series including;
created	appeared on shows including;
created	best known as [[det]] television series;
created	has appeared in [[adj]] series including;
created	has appeared hosted [[con]] made guest appearances including;
created	best known for [[prp]] role on [[det]] television series;
created	appeared on [[adj]] shows including;
created	also appeared in [[adj]] programs including;
created	made guest appearances in [[det]] variety of television shows including;
created	[[adj]] appearances on television shows [[adj]];
created	made guest appearances in [[adj]] television shows ranging from;
created	also appeared in [[adj]] television series [[adj]];
created	has appeared in [[adj]] television dramas including;
created	appeared in television series [[adj]];
created	has written episodes of [[det]] television series;
created	best known for [[prp]] role as [[det]] series;
created	also directed [[det]] number including;
created	[[adj]] guest appearances on shows including;
created	has directed episodes of [[adj]] series;
created	made guest appearances including for;
created	[[det]] guest appearances on shows [[det]] appearances range from;
created	[[adj]] appearances on shows ranging from;
created	made television appearances on shows like [[con]];
created	has written for [[det]] television series [[num]];
created	made guest appearances on shows including;
created	has appeared in [[adj]] roles on shows [[adj]];
created	[[adj]] guest appearances including [[con]];
created	has appeared on television programs including;
created	then appeared in television shows [[adj]];
created	[[adj]] television appearances in acting on shows [[adj]];
created	[[adj]] guest appearances including [[adj]] series as;
created	has appeared on [[adj]] television programs including;
created	made appearances on television shows [[adj]];
created	[[adj]] television appearances including on;
created	be seen on [[adj]] television shows including;
created	has directed episodes of [[adj]] series [[con]];
created	has gueststarred in [[det]] number of television including [[con]] series;
created	has appeared on [[adj]] talk shows including [[det]];
created	made guest appearances in [[adj]] shows [[adj]];
created	[[adj]] guest star appearances on series [[adj]];
created	made guest appearances on shows like;
created	has appeared in [[adj]] television series as;
created	made appearances on television programs [[adj]];
created	made guest appearances including in;
created	made guest appearances on television series [[adj]];
created	appeared in [[det]] television series;
created	has appeared including episodes of [[adj]] series [[con]];
created	[[det]] number roles in [[adj]] television series [[adj]];
created	[[adj]] cameo appearances including on [[adj]] shows as;
created	also appeared in television series [[con]];
created	made guest appearances on television series including;
created	has appeared on [[adj]] shows including;
created	[[adj]] acting roles in [[det]] number of [[adj]] television series including;
created	has appeared in [[adj]] television shows including [[con]];
created	guest roles in series [[adj]];
created	has appeared [[adj]] roles in series [[adj]];
created	has appeared in [[adj]] television shows [[con]] films including;
created	made television guest appearances on;
created	also worked on where appeared [[con]] made appearances including;
created	has appeared on [[adj]] programs including;
created	has appeared in [[adj]] film [[con]] television productions including;
created	has appeared on [[adj]] television series including;
created	also appeared on television programs [[adj]];
created	has appeared on [[adj]] television shows [[adj]];
created	has appeared in episodes of [[det]] television series [[con]];
created	played [[con]] made guest appearances on shows [[adj]];
created	has appeared in [[det]] television series;
created	is known in [[det]] television series;
created	[[adj]] guest appearances on shows ranging to;
created	also appeared in [[adj]] series including;
created	[[adj]] television appearances in [[adj]] series including;
created	best known in [[det]] television series;
created	appeared in [[adj]] television productions;
created	has appeared on [[det]] television series;
created	also appeared on [[det]] television series;
created	made appearances in [[adj]] television series including;
created	best known for [[prp]] roles in [[det]] television series;
created	made appearances in television series [[adj]];
created	[[adj]] guest appearances including [[adj]];
created	appeared on television including;
created	has directed [[adj]] films;
created	also directed [[det]] films;
created	directed [[num]] [[adj]] films;
created	also directed [[num]] films;
created	directed [[num]] [[adj]] films [[con]];
created	directed [[num]] films [[con]];
created	where starred in;
created	also starred on;
created	[[adj]] starred [[det]];
created	later starred;
created	[[adj]] starred [[con]];
created	[[adj]] starred as;
created	[[adj]] starred;
created	has starred [[num]];
created	also starred as;
created	had starred as;
created	had starred with;
created	[[adj]] starred on;
created	later starred in;
